J,Q,K,A,Q
K,J,capy,A,J
K,Q,capy,J,nonna
capy,W,Q,K,nonna
K,capy,K,plume,Q
fade,plume,K,W,J
fade,fade,J,A,K
SC,J,Q,plume,A
A,nonna,Q,nonna,K
nonna,A,K,J,A
plume,Q,W,plume,Q
K,J,capy,plume,nonna
J,K,J,nonna,nonna
W,plume,K,Q,SC
W,A,J,A,Q
Q,nonna,SC,plume,nonna
SC,Q,plume,plume,nonna
Q,Q,K,W,Q
A,nonna,capy,fade,W
Q,W,J,Q,J
plume,A,plume,fade,J
A,K,K,J,J
J,Q,K,J,K
W,A,K,nonna,nonna
K,K,Q,K,Q
nonna,Q,nonna,Q,A
A,J,K,W,nonna
Q,K,SC,nonna,SC
W,plume,fade,K,fade
plume,plume,J,Q,nonna
nonna,Q,A,K,A
A,Q,nonna,plume,capy
W,Q,K,nonna,A
Q,capy,K,fade,capy
Q,nonna,J,Q,J
K,Q,W,W,J
Q,Q,nonna,plume,fade
J,plume,A,nonna,Q
W,plume,J,nonna,K
nonna,Q,A,W,fade
J,A,Q,fade,J
fade,A,A,Q,nonna
Q,nonna,nonna,Q,K
plume,J,nonna,K,Q
fade,Q,Q,capy,fade
plume,Q,plume,J,A
J,A,J,plume,fade
W,Q,A,Q,capy
A,K,J,nonna,nonna
J,Q,K,A,W
nonna,nonna,J,A,Q
K,J,Q,Q,A
J,fade,A,J,capy
SC,W,K,fade,plume
Q,K,K,nonna,plume
nonna,plume,W,J,J
Q,capy,W,Q,K
fade,nonna,SC,K,J
K,fade,W,W,J
J,plume,K,J,K
J,A,A,plume,nonna
Q,nonna,A,Q,A
J,W,A,plume,Q
J,plume,K,Q,capy
J,A,plume,capy,Q
fade,J,K,A,capy
plume,nonna,J,J,K
plume,nonna,plume,capy,Q
nonna,K,Q,A,SC
J,A,Q,nonna,A
fade,fade,Q,capy,plume
A,J,J,fade,A
